subService,mainService,subService,serviceCode,serviceLink,serviceDetailsLink
Temporary reduction of branching amperage of subscribers of power distribution companies,Considering the request for branching and changing the amperage of the subscribers of power distribution companies (13031467000),Temporary reduction of branching amperage of subscribers of power distribution companies,13031467105,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3473
Fixing the damage to the electricity network,Providing damages and network privacy services (13031977000),Fixing the damage to the electricity network,13031977100,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3476
Investigate theft reports of electrical appliances,Providing damages and network privacy services (13031977000),Investigate theft reports of electrical appliances,13031977101,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3478
Eliminate electricity power privacy,Providing damages and network privacy services (13031977000),Eliminate electricity power privacy,13031977103,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3480
Eliminate the risk of hazardous electrical installations,Providing damages and network privacy services (13031977000),Eliminate the risk of hazardous electrical installations,13031978100,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3482
Installation of solar generator for electricity subscribers (for applicants less than 200 kW),Providing solar generator services (13031979000),Installation of solar generator for electricity subscribers (for applicants less than 200 kW),13031979103,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3485
Provide solar generator bill for electricity subscribers (for applicants less than 200 kW),Providing solar generator services (13031979000),Provide solar generator bill for electricity subscribers (for applicants less than 200 kW),13031979104,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3487
Submitting a report on the delivered energy generator of solar subscribers (especially for applicants less than 200 kW),Providing solar generator services (13031979000),Submitting a report on the delivered energy generator of solar subscribers (especially for applicants less than 200 kW),13031979105,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3489
Temporary blackout at the request of the applicant,Providing services to eliminate blackouts and technical problems of electricity (13031980000),Temporary blackout at the request of the applicant,13031980100,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3492
Submit reports of power outages,Providing services to eliminate blackouts and technical problems of electricity (13031980000),Submit reports of power outages,13031980102,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3503
Fixing power outages,Providing services to eliminate blackouts and technical problems of electricity (13031980000),Fixing power outages,13031980103,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3505
Fixing power grid voltage problem,Providing services to eliminate blackouts and technical problems of electricity (13031980000),Fixing power grid voltage problem,13031980104,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3499
Fixing the problem of street lighting,Providing services to eliminate blackouts and technical problems of electricity (13031980000),Fixing the problem of street lighting,13031980105,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3501
Providing a list of authorized suppliers of goods related to the electricity industry,Handling and responding to requests from clients in the field of electricity distribution (13031986000),Providing a list of authorized suppliers of goods related to the electricity industry,13011987100,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3508
Providing a list of approved contractors in the field of electricity,Handling and responding to requests from clients in the field of electricity distribution (13031986000),Providing a list of approved contractors in the field of electricity,13011987107,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3510
Provide instructions and plans for the construction of electrical equipment and panels,Provide instructions and plans for the construction of electrical equipment and panels (13031987000),Provide instructions and plans for the construction of electrical equipment and panels,13031987104,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3513
Cultivation of electricity consumption management,Power consumption optimization (13032882000),Cultivation of electricity consumption management,13032882100,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3516
Peak load control of power consumption,Power consumption optimization (13032882000),Peak load control of power consumption,13032882102,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3518
Determining the energy rating of office buildings,Power consumption optimization (13032882000),Determining the energy rating of office buildings,13032882103,https://bargheman.com/,https://aped.ir/page-main/fa/0/form/pId3520
